name	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
D	549.7506058216095	47	0.9736097	0.485
CD	385.2922339439392	25	0.9737628	0.4875
CM	2325.2000629901886	76	0.97676027	0.54071426
CCM	1843.226009607315	60	0.9775638	0.5282143
CL	310.27105164527893	32	0.96428555	0.35285714
CML	451.94711780548096	48	0.96428555	0.34535715
CLL	388.72077798843384	42	0.96428555	0.37857142
CLD	538.7505917549133	45	0.976454	0.5325
CCL	437.44722723960876	47	0.96428555	0.3967857
CCLL	316.5933949947357	33	0.96428555	0.36964285
CMCML	493.28907561302185	53	0.96428555	0.37392858
CMCMLL	631.7264068126678	67	0.96428555	0.39571428
LD	1355.3999061584473	65	0.9653827	0.23321429
LL	740.2854459285736	21	0.96428555	0.09607143
