n	cats	val_categorical_accuracy
2	ps,eps	0.7557143
3	log,rtf,xml	0.9667857
4	jpg,kml,f,png	0.9117857
5	doc,eps,java,f,rtf	0.93464285
6	pdf,pps,wp,log,kmz,gz	0.62535715
7	dbase3,rtf,pdf,sql,html,dwf,doc	0.8282143
8	jpg,xml,gif,ppt,f,rtf,dbase3,eps	0.8325
9	png,pptx,swf,log,ppt,rtf,pps,html,java	0.5889286
10	hlp,gz,pps,gif,kmz,dwf,dbase3,java,swf,doc	0.58428574
11	gif,swf,kml,png,doc,html,dwf,hlp,xml,f,eps	0.6471428
12	csv,doc,ps,java,html,dbase3,xls,pptx,xml,kmz,kml,wp	0.8117857
13	rtf,dbase3,ps,java,f,pptx,txt,gz,kmz,log,kml,pdf,html	0.7103571
14	doc,f,hlp,xls,wp,jpg,java,pps,eps,dbase3,gz,pptx,txt,swf	0.6207143
15	rtf,gz,html,dbase3,gif,java,dwf,hlp,kmz,pptx,xls,doc,swf,f,txt	0.5942857
16	sql,doc,gif,html,eps,log,gz,kml,csv,f,swf,ps,ppt,dwf,java,pptx	0.61714286
17	log,kmz,pptx,html,ps,rtf,swf,dwf,xls,xml,java,hlp,png,pdf,sql,jpg,gif	0.60535717
18	pptx,sql,csv,hlp,html,rtf,txt,swf,xls,log,png,gif,dwf,gz,pdf,pps,ppt,f	0.48714286
19	doc,kml,xml,pps,wp,swf,hlp,ppt,gif,dwf,f,eps,dbase3,txt,pptx,sql,log,rtf,png	0.56535715
20	sql,gif,swf,kml,ppt,html,txt,pptx,png,eps,dwf,kmz,log,gz,ps,f,jpg,pdf,xls,java	0.48714286
21	txt,ppt,xml,dbase3,f,pptx,sql,png,dwf,log,doc,kmz,hlp,java,ps,gz,wp,jpg,eps,swf,gif	0.5325
22	pptx,doc,f,eps,sql,txt,xml,html,kml,csv,xls,jpg,dwf,ps,wp,gif,pps,png,gz,log,pdf,ppt	0.52
23	pps,csv,pptx,sql,png,ps,kml,txt,gif,dwf,doc,log,swf,wp,hlp,pdf,f,dbase3,html,jpg,java,xml,eps	0.61464286
24	sql,doc,txt,png,dbase3,html,csv,java,pptx,gz,eps,pps,ppt,kml,gif,jpg,kmz,pdf,wp,xls,hlp,xml,swf,dwf	0.5417857
25	pptx,dwf,java,eps,swf,dbase3,jpg,gz,rtf,xml,doc,csv,html,ppt,xls,f,log,hlp,pps,wp,kml,kmz,png,pdf,gif	0.5332143
26	xml,gz,txt,wp,ps,html,pps,doc,pdf,pptx,kmz,sql,f,gif,jpg,rtf,kml,ppt,xls,dbase3,swf,hlp,dwf,eps,png,java	0.5207143
27	pdf,dbase3,ppt,gif,ps,doc,pps,sql,gz,png,dwf,kml,f,java,txt,kmz,log,jpg,xml,hlp,swf,csv,eps,html,wp,pptx,rtf	0.5592857
28	txt,xls,ps,pps,pdf,hlp,java,f,png,wp,eps,doc,jpg,swf,pptx,gif,html,ppt,rtf,csv,dwf,gz,kmz,sql,kml,dbase3,log,xml	0.54392856
2	eps,pptx	0.9746429
3	swf,sql,dwf	0.7582143
4	doc,sql,xls,rtf	0.9025
5	png,kml,rtf,xls,hlp	0.9721429
6	pps,eps,doc,rtf,dwf,pdf	0.705
7	pptx,eps,ps,pps,dwf,png,doc	0.49464285
8	png,pptx,csv,pps,ppt,xml,dbase3,kml	0.6575
9	doc,gif,html,ppt,pptx,eps,dwf,f,hlp	0.6457143
10	ppt,wp,rtf,kmz,pptx,log,png,gif,ps,hlp	0.65178573
11	pptx,gz,sql,txt,csv,png,kmz,dwf,f,java,pdf	0.56642854
12	jpg,csv,ppt,hlp,kmz,eps,dwf,swf,pptx,pdf,wp,xml	0.5925
13	hlp,pptx,xml,gif,gz,ppt,html,sql,jpg,pps,rtf,java,xls	0.6225
14	doc,swf,txt,ps,pps,f,dwf,eps,pdf,xml,rtf,xls,png,ppt	0.5332143
15	hlp,java,gz,csv,html,ps,f,pdf,txt,jpg,pps,rtf,png,wp,sql	0.62714285
16	rtf,sql,log,hlp,ppt,html,kmz,txt,xls,dbase3,dwf,eps,gz,pps,ps,png	0.58214283
17	ppt,ps,kml,doc,dwf,eps,sql,gif,dbase3,txt,pptx,rtf,xls,f,html,pdf,log	0.6389286
18	ppt,gif,kmz,f,pdf,txt,kml,jpg,dbase3,xls,pptx,log,dwf,rtf,sql,swf,eps,gz	0.5807143
19	hlp,dwf,pdf,log,swf,sql,kml,csv,kmz,f,eps,ps,pps,rtf,ppt,wp,xls,gif,txt	0.5739286
20	html,pps,ps,ppt,wp,xls,gz,kmz,jpg,xml,hlp,pptx,doc,kml,swf,java,log,csv,png,txt	0.54214287
21	ps,swf,xls,rtf,html,kml,sql,doc,log,ppt,png,dwf,pps,xml,eps,f,csv,jpg,dbase3,pdf,pptx	0.5832143
22	pptx,ps,kml,pdf,pps,f,csv,jpg,hlp,kmz,wp,xml,rtf,html,sql,dbase3,log,png,dwf,swf,gz,java	0.62214285
23	xls,dbase3,xml,rtf,kml,eps,f,dwf,hlp,csv,pps,wp,log,pptx,doc,pdf,txt,java,ppt,jpg,ps,html,gz	0.5885714
24	pptx,gif,png,wp,swf,eps,kml,rtf,xls,dwf,dbase3,jpg,doc,f,ppt,ps,csv,java,pdf,sql,gz,txt,kmz,pps	0.49285713
25	pps,kml,eps,log,pdf,hlp,png,pptx,doc,xls,gz,ps,html,java,rtf,ppt,xml,f,txt,kmz,gif,dwf,swf,dbase3,jpg	0.5032143
26	ps,ppt,dbase3,swf,kml,wp,pdf,pptx,log,pps,doc,xls,csv,hlp,gif,kmz,xml,dwf,eps,txt,rtf,png,sql,jpg,java,gz	0.55035716
27	hlp,html,kmz,wp,pps,ps,png,csv,f,eps,ppt,sql,gz,xls,dwf,xml,gif,doc,rtf,swf,txt,dbase3,pdf,java,kml,pptx,jpg	0.5278571
28	ps,kmz,dbase3,pptx,jpg,gif,f,dwf,rtf,html,pdf,java,eps,pps,csv,sql,gz,xml,ppt,swf,kml,png,doc,wp,log,txt,xls,hlp	0.5542857
2	gif,csv	1.0
3	ppt,csv,txt	0.955
4	log,xml,eps,gif	0.94964284
5	csv,sql,dwf,pdf,kmz	0.73035717
6	pptx,html,jpg,sql,gz,swf	0.64857143
7	doc,log,java,wp,dwf,eps,png	0.7814286
8	pdf,pptx,rtf,doc,kmz,ps,dbase3,kml	0.7860714
9	png,hlp,eps,pps,dwf,gif,kmz,gz,xml	0.5542857
10	pptx,pdf,xls,pps,sql,gz,kml,gif,txt,wp	0.62
11	html,txt,xml,log,gz,dwf,rtf,f,pps,kmz,dbase3	0.6546429
12	html,pptx,xls,jpg,gif,eps,dbase3,ppt,hlp,png,rtf,wp	0.69785714
13	hlp,gif,doc,xls,pptx,eps,pdf,csv,gz,f,txt,kml,dbase3	0.6610714
14	txt,xls,f,rtf,wp,dbase3,html,pdf,java,kmz,jpg,png,pptx,xml	0.6735714
15	dbase3,sql,html,kmz,wp,xml,xls,pdf,doc,gz,txt,f,rtf,java,csv	0.70428574
16	png,hlp,sql,wp,swf,doc,rtf,jpg,pps,txt,ppt,xls,log,html,kml,csv	0.6257143
17	html,eps,kmz,sql,png,jpg,ps,pdf,doc,wp,pptx,rtf,hlp,f,kml,xml,gif	0.66642857
18	ps,xml,dbase3,pps,dwf,jpg,doc,sql,xls,csv,pptx,gz,rtf,gif,html,swf,png,eps	0.5964286
19	hlp,ps,wp,xls,pps,doc,log,csv,dwf,f,png,sql,rtf,xml,java,pdf,jpg,kmz,kml	0.6557143
20	log,dwf,f,html,gif,pptx,swf,java,sql,png,ppt,dbase3,gz,xml,pdf,jpg,txt,doc,xls,kmz	0.535
21	pdf,txt,xls,java,pptx,rtf,kmz,dwf,gif,doc,eps,swf,pps,wp,log,jpg,hlp,kml,ps,f,csv	0.5742857
22	pps,xls,eps,jpg,dbase3,doc,dwf,csv,log,xml,kml,swf,txt,rtf,pptx,java,sql,hlp,ps,ppt,pdf,gz	0.57285714
23	xml,ps,wp,log,swf,f,pps,rtf,pdf,kml,dwf,dbase3,xls,gif,html,txt,ppt,hlp,eps,pptx,sql,doc,java	0.58178574
24	html,ps,doc,gz,gif,sql,hlp,wp,png,java,pps,f,ppt,txt,csv,jpg,swf,pdf,rtf,kml,xml,dbase3,kmz,dwf	0.5667857
25	kmz,kml,doc,dwf,gz,f,gif,swf,txt,xls,eps,pps,sql,rtf,ppt,java,png,pdf,log,ps,wp,hlp,pptx,dbase3,html	0.5289286
26	log,kml,java,wp,dbase3,gif,png,kmz,txt,dwf,rtf,pps,html,jpg,hlp,xml,xls,eps,ppt,pdf,f,csv,gz,pptx,ps,doc	0.54821426
27	doc,xml,ps,hlp,pps,kmz,png,f,dbase3,sql,pdf,dwf,xls,gif,swf,gz,log,jpg,java,rtf,txt,ppt,wp,eps,kml,csv,html	0.5392857
28	txt,swf,pptx,wp,html,ppt,sql,f,doc,kml,xml,csv,xls,gz,ps,pps,rtf,eps,kmz,pdf,gif,java,jpg,png,dwf,hlp,log,dbase3	0.5510714
2	csv,kmz	0.99964285
3	ppt,ps,doc	0.8889286
4	txt,pdf,java,f	0.8364286
5	gz,jpg,pps,txt,png	0.6067857
6	dwf,jpg,txt,rtf,doc,java	0.9110714
7	ps,sql,rtf,pptx,gz,html,f	0.82285714
8	wp,kmz,ps,png,f,pdf,html,java	0.7757143
9	txt,wp,pptx,log,kml,kmz,dwf,xls,gif	0.7032143
10	dwf,txt,log,pdf,jpg,kml,csv,sql,pptx,hlp	0.7
11	pptx,pdf,csv,pps,java,doc,gz,sql,kmz,wp,f	0.6414286
12	eps,xls,log,gz,kml,swf,kmz,dbase3,pps,sql,f,pptx	0.6528571
13	ps,xls,pptx,gz,java,html,png,hlp,gif,dbase3,sql,pdf,ppt	0.6514286
14	java,f,pdf,swf,pps,pptx,xls,log,ppt,txt,png,wp,jpg,hlp	0.51857144
15	html,swf,kml,eps,f,xls,hlp,xml,png,pptx,rtf,gif,jpg,pps,gz	0.6110714
16	f,kmz,wp,xls,eps,pdf,jpg,pptx,java,log,gz,sql,doc,html,rtf,swf	0.6810714
17	kml,dbase3,xls,pptx,html,eps,pps,swf,ppt,gz,java,dwf,log,hlp,sql,csv,jpg	0.6217857
18	f,pptx,java,doc,csv,kml,pps,gz,xml,rtf,sql,wp,kmz,jpg,ppt,dbase3,dwf,swf	0.57785714
19	dwf,hlp,xls,log,sql,png,kmz,pptx,kml,html,rtf,wp,csv,swf,xml,doc,java,f,ppt	0.6389286
20	eps,doc,ps,gz,xls,html,sql,txt,kmz,hlp,log,csv,gif,dbase3,dwf,rtf,f,wp,swf,kml	0.635
21	xml,rtf,png,java,pps,wp,jpg,ps,csv,log,gz,f,xls,html,sql,gif,txt,kml,eps,swf,dbase3	0.6282143
22	csv,dwf,kml,png,pps,eps,kmz,pptx,f,pdf,xls,txt,html,hlp,doc,wp,jpg,gz,rtf,log,swf,sql	0.56142855
23	hlp,dwf,pptx,ps,eps,kmz,pdf,html,doc,dbase3,xml,gz,kml,rtf,log,wp,txt,swf,jpg,png,java,pps,gif	0.545
24	eps,html,pptx,gz,xml,log,txt,sql,hlp,dwf,xls,doc,csv,pps,swf,rtf,jpg,ppt,f,ps,gif,java,png,dbase3	0.5289286
25	xml,xls,pps,csv,rtf,hlp,ps,swf,doc,f,wp,eps,ppt,pdf,kmz,kml,pptx,txt,dbase3,gz,sql,gif,png,log,jpg	0.5364286
26	ppt,xml,dwf,eps,doc,kml,dbase3,pps,ps,wp,f,hlp,html,kmz,xls,log,java,rtf,gif,txt,pdf,sql,csv,swf,jpg,gz	0.57464284
27	html,pps,gif,pdf,rtf,png,java,txt,kmz,f,log,xls,csv,ps,wp,xml,dbase3,kml,gz,hlp,jpg,ppt,pptx,dwf,eps,swf,doc	0.5303571
28	rtf,pptx,java,swf,eps,dbase3,doc,gif,gz,pdf,dwf,jpg,wp,xls,png,f,html,log,sql,xml,hlp,kml,kmz,ps,csv,txt,pps,ppt	0.51928574
2	sql,log	0.9217857
3	csv,xml,doc	0.9767857
4	html,swf,csv,doc	0.9357143
