cat1	cat2	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
csv	dbase3	1040.7059528827667	24	0.99785715	0.99785715
csv	doc	1807.5884442329407	43	0.9892857	0.9892857
csv	dwf	463.4997503757477	11	0.99857146	0.99857146
csv	eps	1096.6623351573944	23	0.9967857	0.9967857
csv	f	1840.1324837207794	42	0.97321427	0.97321427
csv	gif	530.7885355949402	12	0.99857146	0.99857146
csv	gz	544.7575821876526	11	1.0	1.0
csv	hlp	1321.7435710430145	28	0.98285717	0.98285717
csv	html	1095.6041548252106	25	0.9753571	0.9753571
csv	java	1280.3371996879578	28	0.9917857	0.9917857
csv	jpg	1003.9277517795563	20	0.99535716	0.99535716
csv	kml	777.9098374843597	15	0.97321427	0.97321427
csv	kmz	570.4467887878418	11	0.9992857	0.9992857
csv	log	1655.3700983524323	32	0.9767857	0.9767857
csv	pdf	1348.151804447174	26	0.99392855	0.99392855
csv	png	656.4528510570526	13	0.99892855	0.99892855
csv	pps	825.3880190849304	16	0.99785715	0.99785715
csv	ppt	1302.834608078003	26	0.99285716	0.99285716
csv	pptx	623.9143452644348	13	0.9982143	0.9982143
csv	ps	1777.547687292099	34	0.99535716	0.99535716
csv	rtf	1453.8349051475525	29	0.98785716	0.98785716
csv	sql	1965.56968832016	40	0.99142855	0.99142855
csv	swf	1170.3168585300446	24	0.9992857	0.9992857
csv	txt	1146.039677143097	24	0.94142854	0.94142854
csv	wp	1399.378333568573	29	0.98392856	0.98392856
csv	xls	2954.9266352653503	59	0.9835714	0.9835714
csv	xml	817.6714708805084	17	0.98	0.98
dbase3	doc	2120.439291000366	43	0.9925	0.9925
dbase3	dwf	584.5298399925232	12	0.99964285	0.99964285
dbase3	eps	1342.2319085597992	27	0.99642855	0.99642855
dbase3	f	1545.5729370117188	32	0.9975	0.9975
dbase3	gif	576.4187545776367	12	1.0	1.0
dbase3	gz	539.2190232276917	11	0.99964285	0.99964285
dbase3	hlp	1357.4073960781097	28	0.9957143	0.9957143
dbase3	html	1584.2762279510498	33	0.995	0.995
dbase3	java	833.2311131954193	17	0.9967857	0.9967857
dbase3	jpg	1102.7696299552917	22	0.9967857	0.9967857
dbase3	kml	1596.7563302516937	33	0.99035716	0.99035716
dbase3	kmz	494.6679108142853	11	0.99892855	0.99892855
dbase3	log	1761.4707336425781	39	0.9767857	0.9767857
dbase3	pdf	1142.533626317978	25	1.0	1.0
dbase3	png	629.8155751228333	14	0.99857146	0.99857146
dbase3	pps	639.6857748031616	14	0.99714285	0.99714285
dbase3	ppt	907.9441676139832	20	0.99392855	0.99392855
dbase3	pptx	941.105345249176	21	0.99642855	0.99642855
dbase3	ps	1476.594556093216	33	0.9982143	0.9982143
dbase3	rtf	1191.5907723903656	26	0.99857146	0.99857146
dbase3	sql	1838.51917552948	41	0.9875	0.9875
dbase3	swf	599.333425283432	13	1.0	1.0
dbase3	txt	2091.3329906463623	46	0.9935714	0.9935714
dbase3	wp	1780.8304357528687	39	0.99464285	0.99464285
dbase3	xls	1744.5344166755676	39	0.99285716	0.99285716
dbase3	xml	1012.8504266738892	24	0.98464286	0.98464286
doc	dwf	2565.5360929965973	61	0.93964285	0.93964285
doc	eps	1663.0879752635956	39	0.9792857	0.9792857
doc	f	1900.3474624156952	44	0.9703571	0.9703571
doc	gif	2373.658967733383	57	0.9064286	0.9064286
doc	gz	583.8939855098724	13	0.9332143	0.9332143
doc	hlp	3284.298633337021	77	0.99464285	0.99464285
doc	html	1384.5129477977753	31	0.98142856	0.98142856
doc	java	1877.514051914215	42	0.99285716	0.99285716
doc	jpg	638.8969655036926	14	0.91821426	0.91821426
doc	kml	1348.2558929920197	30	0.9842857	0.9842857
doc	kmz	2155.864467859268	48	0.92285717	0.92285717
doc	log	1879.2317061424255	42	0.9760714	0.9760714
doc	pdf	1352.0917041301727	30	0.92535716	0.92535716
doc	png	1332.9953043460846	29	0.89928573	0.89928573
doc	pps	1593.799639225006	35	0.88535714	0.88535714
doc	ppt	1540.3176128864288	34	0.85142857	0.85142857
doc	pptx	1582.597912311554	31	0.9257143	0.9257143
doc	ps	1024.1758244037628	19	0.97964287	0.97964287
doc	rtf	2022.2518181800842	37	0.98714286	0.98714286
doc	sql	1570.2542581558228	29	0.9671429	0.9671429
doc	swf	2293.429054260254	42	0.89464283	0.89464283
doc	txt	2742.0917060375214	50	0.9785714	0.9785714
doc	wp	2570.830169916153	47	0.96107143	0.96107143
doc	xls	2516.978975057602	46	0.85785717	0.85785717
doc	xml	1815.5271711349487	33	0.9746429	0.9746429
dwf	eps	1226.316257238388	24	0.9671429	0.9671429
dwf	f	673.9176530838013	13	0.99392855	0.99392855
dwf	gif	1684.254498243332	31	0.68142855	0.68142855
dwf	gz	2270.1865611076355	42	0.57535714	0.57535714
dwf	hlp	671.5277750492096	12	0.99714285	0.99714285
dwf	html	758.1035170555115	14	1.0	1.0
dwf	java	819.4057602882385	15	0.9992857	0.9992857
dwf	jpg	2585.9511682987213	48	0.9128571	0.9128571
dwf	kml	869.449919462204	16	1.0	1.0
dwf	kmz	1269.4015443325043	23	0.7082143	0.7082143
dwf	log	782.5064969062805	13	0.99964285	0.99964285
dwf	pdf	1738.124834060669	32	0.71428573	0.71428573
dwf	png	2212.567901611328	39	0.5996429	0.5996429
dwf	pps	2015.973704814911	36	0.7207143	0.7207143
dwf	ppt	3912.752115726471	69	0.7292857	0.7292857
dwf	pptx	1526.719098329544	27	0.6742857	0.6742857
dwf	ps	1246.7970502376556	23	0.9892857	0.9892857
dwf	rtf	1196.7565248012543	22	0.9982143	0.9982143
dwf	sql	1137.4005227088928	22	1.0	1.0
dwf	swf	1431.2721998691559	29	0.6317857	0.6317857
dwf	txt	652.5193681716919	13	0.99464285	0.99464285
dwf	wp	1053.3153748512268	21	0.9842857	0.9842857
dwf	xls	1602.6065864562988	32	0.9810714	0.9810714
dwf	xml	703.3377656936646	14	0.9982143	0.9982143
eps	f	1746.0500209331512	35	0.97642857	0.97642857
eps	gif	558.140655040741	11	0.9785714	0.9785714
eps	gz	577.6271810531616	11	0.9792857	0.9792857
eps	hlp	1395.8483726978302	27	0.99214286	0.99214286
eps	html	3674.8693811893463	71	0.98	0.98
eps	java	2965.643754720688	57	0.99464285	0.99464285
eps	jpg	1900.4820890426636	37	0.9767857	0.9767857
eps	kml	2665.02640581131	51	0.9753571	0.9753571
eps	kmz	554.0847873687744	11	0.9710714	0.9710714
eps	log	1425.6581218242645	28	0.9603571	0.9603571
eps	pdf	1353.5026133060455	29	0.9717857	0.9717857
eps	png	1714.144559621811	37	0.99142855	0.99142855
eps	pps	518.8060142993927	11	0.9671429	0.9671429
eps	ppt	517.6261417865753	11	0.97321427	0.97321427
eps	pptx	1251.8960745334625	27	0.97892857	0.97892857
eps	ps	1521.3516750335693	33	0.7457143	0.7457143
eps	rtf	2629.425744533539	57	0.9671429	0.9671429
eps	sql	2284.2990391254425	50	0.9785714	0.9785714
eps	swf	1774.7520840168	39	0.99392855	0.99392855
eps	txt	2663.1473166942596	58	0.9632143	0.9632143
eps	wp	1916.484417438507	42	0.97571427	0.97571427
eps	xls	3657.054301738739	62	0.9767857	0.9767857
eps	xml	3165.8729333877563	52	0.98464286	0.98464286
f	gif	806.9319839477539	13	0.99964285	0.99964285
f	gz	689.7345073223114	11	1.0	1.0
f	hlp	2011.6286344528198	33	0.8978571	0.8978571
f	html	1734.4962410926819	27	0.94964284	0.94964284
f	java	2167.135570526123	33	0.945	0.945
f	jpg	1333.3258202075958	20	0.9892857	0.9892857
f	kml	2527.9823677539825	39	0.9835714	0.9835714
f	kmz	785.8956160545349	12	1.0	1.0
f	log	4373.735739469528	71	0.9046429	0.9046429
f	pdf	1945.9221589565277	31	0.9785714	0.9785714
f	png	1253.3094856739044	20	0.9917857	0.9917857
f	pps	841.4730417728424	13	0.9967857	0.9967857
f	ppt	1566.4968252182007	25	0.99642855	0.99642855
f	pptx	899.1133551597595	14	0.99142855	0.99142855
f	ps	3769.300760984421	60	0.9628571	0.9628571
f	rtf	1625.8978381156921	26	0.98142856	0.98142856
f	sql	3579.9209368228912	58	0.9117857	0.9117857
f	swf	1153.4129197597504	19	0.99464285	0.99464285
f	txt	2557.100351333618	42	0.7392857	0.7392857
f	wp	2522.860650539398	42	0.9639286	0.9639286
f	xls	4337.581713438034	80	0.98464286	0.98464286
f	xml	1293.4257600307465	27	0.9557143	0.9557143
gif	gz	1189.4987888336182	22	0.70464283	0.70464283
gif	hlp	594.2491323947906	11	1.0	1.0
gif	html	672.9111142158508	12	0.99892855	0.99892855
gif	java	722.9294395446777	13	0.99964285	0.99964285
gif	jpg	2423.123265504837	45	0.8325	0.8325
gif	kml	1069.1570882797241	20	1.0	1.0
gif	kmz	3067.7215118408203	60	0.73571426	0.73571426
gif	log	634.9173192977905	12	1.0	1.0
gif	pdf	1574.7019851207733	30	0.7103571	0.7103571
gif	png	2041.653531551361	40	0.6825	0.6825
gif	pps	2867.4904935359955	56	0.74857146	0.74857146
gif	ppt	1991.0000801086426	39	0.73892856	0.73892856
gif	pptx	1492.7213518619537	29	0.70178574	0.70178574
gif	ps	1438.901683807373	28	0.99	0.99
gif	rtf	652.7469668388367	12	0.99857146	0.99857146
gif	sql	801.1667337417603	15	0.99285716	0.99285716
gif	swf	2097.5517365932465	41	0.7103571	0.7103571
gif	txt	589.4233722686768	11	0.99785715	0.99785715
gif	wp	660.2865071296692	12	0.9882143	0.9882143
gif	xls	1701.5473628044128	33	0.98214287	0.98214287
gif	xml	628.4309642314911	12	0.99964285	0.99964285
gz	hlp	691.9320433139801	13	0.99964285	0.99964285
gz	html	584.2534189224243	11	0.99964285	0.99964285
gz	java	589.1963813304901	11	0.9992857	0.9992857
gz	jpg	1806.8646023273468	35	0.8975	0.8975
gz	kml	606.3354258537292	11	0.99964285	0.99964285
gz	kmz	809.7853617668152	15	0.7164286	0.7164286
gz	log	645.0434617996216	12	1.0	1.0
gz	pdf	1253.0104110240936	24	0.715	0.715
gz	png	2275.369038105011	43	0.6364286	0.6364286
gz	pps	2518.5334162712097	48	0.7064286	0.7064286
gz	ppt	1626.973421573639	31	0.67642856	0.67642856
gz	pptx	1752.2025301456451	33	0.66892856	0.66892856
gz	ps	1153.1750342845917	22	0.9942857	0.9942857
gz	rtf	578.3425433635712	11	0.99142855	0.99142855
