n	cats	val_categorical_accuracy
2	pps,ppt	0.51785713
2	gz,png	0.5932143
2	dwf,png	0.6021429
2	dwf,gz	0.6028571999999999
2	png,swf	0.6035714
2	pps,pptx	0.61392856
2	dwf,swf	0.6185714
2	dwf,pps	0.6242856999999999
2	png,pps	0.6242856999999999
2	png,pptx	0.63035715
2	ppt,pptx	0.63714284
2	pptx,swf	0.6389286
2	kmz,pps	0.64357144
2	gz,swf	0.6489286
2	kmz,ppt	0.65
2	pps,swf	0.65
2	kmz,pptx	0.6521429
2	dwf,pptx	0.6521429
2	gz,pps	0.6521429
2	kmz,swf	0.6567857
2	gz,pptx	0.6578571
2	ppt,swf	0.6646429
2	dwf,kmz	0.66785717
2	dwf,ppt	0.6710714
2	png,ppt	0.67214286
2	kmz,png	0.67892855
2	jpg,pps	0.6810714
2	gz,pdf	0.69285715
2	pdf,png	0.6967857
2	pdf,swf	0.69785714
2	kmz,pdf	0.69857144
2	dwf,pdf	0.70107144
2	jpg,ppt	0.70464283
2	jpg,pptx	0.7057143
2	eps,ps	0.7107143
2	gz,ppt	0.7125
2	jpg,swf	0.7125
2	pdf,pptx	0.7192857
2	gz,kmz	0.7221429
2	pdf,pps	0.73071426
2	jpg,kmz	0.73964286
2	f,txt	0.7442857
2	pdf,ppt	0.74714285
2	gif,pptx	0.7664286
2	gif,gz	0.76857144
2	gif,ppt	0.7789286
2	gif,png	0.7839286
2	gif,pps	0.7917857
2	dwf,gif	0.8
2	jpg,png	0.8010714
2	jpg,pdf	0.8189286
2	gif,swf	0.82607144
2	gif,kmz	0.82928574
2	gif,jpg	0.8314286
2	gif,pdf	0.8471429
2	html,xml	0.8503571
2	doc,xls	0.8585714
2	doc,ppt	0.86035717
2	doc,kmz	0.87285715
2	f,sql	0.87964284
2	doc,gif	0.88035715
2	hlp,txt	0.8857143
2	doc,pps	0.88607144
2	dwf,jpg	0.8875
2	f,hlp	0.88785714
2	doc,swf	0.88928574
2	log,txt	0.89464283
2	doc,dwf	0.9025
2	doc,jpg	0.9046429
2	doc,pptx	0.9060714
2	gz,jpg	0.9103571
2	doc,pdf	0.91071427
2	kml,xml	0.9117857
2	f,log	0.91321427
2	eps,f	0.9146429
2	doc,png	0.9160714
2	java,sql	0.9185714
2	html,kml	0.91964287
2	html,txt	0.9210714
2	csv,txt	0.9217857
2	ppt,xls	0.92285717
2	sql,txt	0.92285717
2	doc,wp	0.925
2	f,html	0.92535716
2	hlp,html	0.9257143
2	log,sql	0.92714286
2	html,log	0.9282143
2	doc,gz	0.92892855
2	pps,xls	0.9332143
2	pdf,ps	0.93392855
2	html,sql	0.93642855
2	log,xml	0.93714285
2	wp,xls	0.9417857
2	hlp,log	0.94285715
2	ps,txt	0.94857144
2	hlp,sql	0.9489286
2	eps,pdf	0.95178574
2	html,java	0.9525
2	rtf,txt	0.95357144
2	f,java	0.9539286
2	f,xml	0.95464283
2	java,xml	0.95535713
2	txt,xml	0.9557143
2	f,ps	0.95607144
2	f,wp	0.9575
2	log,ps	0.9582143
2	kml,log	0.9582143
2	eps,sql	0.9589286
2	sql,wp	0.9589286
2	html,wp	0.9603571
2	eps,rtf	0.96107143
2	java,txt	0.9621429
2	txt,wp	0.9625
2	sql,xml	0.9639286
2	hlp,xml	0.9646429
2	hlp,java	0.965
2	wp,xml	0.9660714
2	kml,txt	0.9664286
2	swf,xls	0.9671429
2	ps,sql	0.9671429
