	csv	dbase3	doc	dwf	eps	f	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	txt	wp	xls	xml
csv	0.50	1.00	0.99	1.00	0.98	0.97	1.00	1.00	0.98	0.98	0.97	1.00	0.98	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.98	1.00	0.92	0.99	0.99	0.98
dbase3	1.00	0.50	0.99	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	1.00	0.99	1.00	1.00	1.00	1.00	1.00	0.99	1.00	0.99	1.00	0.98	1.00	1.00	1.00	0.99	1.00
doc	0.99	0.99	0.50	0.90	0.98	0.97	0.88	0.93	0.97	0.98	0.99	0.90	0.98	0.87	0.99	0.91	0.92	0.89	0.86	0.91	0.97	0.99	0.98	0.89	0.98	0.93	0.86	0.98
dwf	1.00	1.00	0.90	0.50	1.00	0.99	0.80	0.60	1.00	1.00	1.00	0.89	1.00	0.67	0.99	0.70	0.60	0.62	0.67	0.65	0.98	1.00	0.99	0.62	1.00	0.99	0.98	1.00
eps	0.98	1.00	0.98	1.00	0.50	0.91	1.00	0.99	0.99	0.98	0.99	0.99	1.00	0.99	0.98	0.95	0.99	0.98	0.97	0.99	0.71	0.96	0.96	0.99	0.98	0.99	0.98	0.98
f	0.97	1.00	0.97	0.99	0.91	0.50	1.00	1.00	0.89	0.93	0.95	0.99	0.99	0.99	0.91	0.99	0.99	1.00	0.99	0.99	0.96	0.99	0.88	1.00	0.74	0.96	0.98	0.95
gif	1.00	1.00	0.88	0.80	1.00	1.00	0.50	0.77	1.00	1.00	1.00	0.83	1.00	0.83	0.99	0.85	0.78	0.79	0.78	0.77	0.99	1.00	0.99	0.83	1.00	0.98	0.97	1.00
gz	1.00	1.00	0.93	0.60	0.99	1.00	0.77	0.50	1.00	1.00	1.00	0.91	1.00	0.72	1.00	0.69	0.59	0.65	0.71	0.66	0.98	0.99	1.00	0.65	1.00	0.99	0.99	1.00
hlp	0.98	0.99	0.97	1.00	0.99	0.89	1.00	1.00	0.50	0.93	0.96	0.99	0.99	1.00	0.94	1.00	0.99	0.99	0.99	0.99	0.99	0.99	0.95	1.00	0.89	0.97	0.97	0.96
html	0.98	0.99	0.98	1.00	0.98	0.93	1.00	1.00	0.93	0.50	0.95	1.00	0.92	1.00	0.93	0.99	0.99	0.99	0.99	1.00	0.98	0.98	0.94	1.00	0.92	0.96	0.98	0.85
java	0.97	0.99	0.99	1.00	0.99	0.95	1.00	1.00	0.96	0.95	0.50	1.00	0.98	1.00	0.97	0.99	1.00	1.00	0.99	1.00	0.99	0.99	0.92	1.00	0.96	0.98	1.00	0.96
jpg	1.00	1.00	0.90	0.89	0.99	0.99	0.83	0.91	0.99	1.00	1.00	0.50	1.00	0.74	0.99	0.82	0.80	0.68	0.70	0.71	0.99	1.00	1.00	0.71	1.00	0.99	0.99	1.00
kml	0.98	0.99	0.98	1.00	1.00	0.99	1.00	1.00	0.99	0.92	0.98	1.00	0.50	1.00	0.96	0.98	0.99	0.99	0.99	1.00	0.99	0.99	0.99	1.00	0.97	1.00	0.99	0.91
kmz	1.00	1.00	0.87	0.67	0.99	0.99	0.83	0.72	1.00	1.00	1.00	0.74	1.00	0.50	0.99	0.70	0.68	0.64	0.65	0.65	0.98	1.00	1.00	0.66	1.00	0.99	0.98	1.00
log	0.97	1.00	0.99	0.99	0.98	0.91	0.99	1.00	0.94	0.93	0.97	0.99	0.96	0.99	0.50	0.98	1.00	0.99	1.00	0.99	0.96	0.97	0.93	1.00	0.89	0.98	0.97	0.94
pdf	1.00	1.00	0.91	0.70	0.95	0.99	0.85	0.69	1.00	0.99	0.99	0.82	0.98	0.70	0.98	0.50	0.70	0.73	0.75	0.72	0.93	0.99	0.98	0.70	0.98	0.98	0.98	0.98
png	1.00	1.00	0.92	0.60	0.99	0.99	0.78	0.59	0.99	0.99	1.00	0.80	0.99	0.68	1.00	0.70	0.50	0.62	0.67	0.63	0.98	1.00	0.99	0.60	0.99	0.98	0.98	1.00
pps	1.00	1.00	0.89	0.62	0.98	1.00	0.79	0.65	0.99	0.99	1.00	0.68	0.99	0.64	0.99	0.73	0.62	0.50	0.52	0.61	0.98	0.99	0.99	0.65	1.00	0.98	0.93	1.00
ppt	1.00	0.99	0.86	0.67	0.97	0.99	0.78	0.71	0.99	0.99	0.99	0.70	0.99	0.65	1.00	0.75	0.67	0.52	0.50	0.64	0.99	0.98	0.97	0.66	0.98	0.97	0.92	0.99
pptx	1.00	1.00	0.91	0.65	0.99	0.99	0.77	0.66	0.99	1.00	1.00	0.71	1.00	0.65	0.99	0.72	0.63	0.61	0.64	0.50	0.99	1.00	0.99	0.64	0.98	0.98	0.98	0.99
ps	0.99	0.99	0.97	0.98	0.71	0.96	0.99	0.98	0.99	0.98	0.99	0.99	0.99	0.98	0.96	0.93	0.98	0.98	0.99	0.99	0.50	0.97	0.97	0.98	0.95	0.98	0.99	0.99
rtf	0.99	1.00	0.99	1.00	0.96	0.99	1.00	0.99	0.99	0.98	0.99	1.00	0.99	1.00	0.97	0.99	1.00	0.99	0.98	1.00	0.97	0.50	0.98	1.00	0.95	0.98	0.99	0.98
sql	0.98	0.98	0.98	0.99	0.96	0.88	0.99	1.00	0.95	0.94	0.92	1.00	0.99	1.00	0.93	0.98	0.99	0.99	0.97	0.99	0.97	0.98	0.50	1.00	0.92	0.96	0.99	0.96
swf	1.00	1.00	0.89	0.62	0.99	1.00	0.83	0.65	1.00	1.00	1.00	0.71	1.00	0.66	1.00	0.70	0.60	0.65	0.66	0.64	0.98	1.00	1.00	0.50	0.99	0.99	0.97	1.00
txt	0.92	1.00	0.98	1.00	0.98	0.74	1.00	1.00	0.89	0.92	0.96	1.00	0.97	1.00	0.89	0.98	0.99	1.00	0.98	0.98	0.95	0.95	0.92	0.99	0.50	0.96	0.98	0.96
wp	0.99	1.00	0.93	0.99	0.99	0.96	0.98	0.99	0.97	0.96	0.98	0.99	1.00	0.99	0.98	0.98	0.98	0.98	0.97	0.98	0.98	0.98	0.96	0.99	0.96	0.50	0.94	0.97
xls	0.99	0.99	0.86	0.98	0.98	0.98	0.97	0.99	0.97	0.98	1.00	0.99	0.99	0.98	0.97	0.98	0.98	0.93	0.92	0.98	0.99	0.99	0.99	0.97	0.98	0.94	0.50	0.98
