n	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
2	300.18683385849	19	0.9992857	0.9992857
3	548.5413782596588	36	0.9885714	0.98285717
4	308.6714072227478	21	0.9810714	0.9628571
5	407.2665047645569	26	0.98871416	0.9710714
6	422.4532277584076	27	0.9852382	0.9525
7	612.8797447681427	40	0.990102	0.9635714
8	484.53121280670166	32	0.9857589	0.9425
9	252.97677302360535	17	0.98162705	0.91642857
10	623.3340802192688	42	0.9851428	0.92321426
11	1152.69362282753	75	0.98418826	0.9121429
12	559.6656692028046	38	0.9780656	0.8625
13	957.3032653331757	62	0.980879	0.87107146
14	518.1737687587738	34	0.9804337	0.85464287
15	757.2765038013458	48	0.98161906	0.85714287
16	591.074070930481	38	0.9770759	0.80642855
17	586.1114149093628	39	0.9784034	0.8035714
18	938.5630264282227	63	0.97734123	0.7810714
19	1414.2634332180023	91	0.978703	0.78821427
20	654.2665076255798	44	0.9758572	0.7325
21	1093.8794975280762	70	0.97790813	0.7410714
22	1180.238490819931	76	0.9779383	0.7253571
23	747.3044378757477	53	0.97746915	0.67714286
24	1255.1733767986298	81	0.9755953	0.63714284
25	1292.1492295265198	84	0.9781	0.6528571
26	1230.7699925899506	80	0.97800815	0.6185714
27	910.559011220932	58	0.9775264	0.58428574
28	1056.6276457309723	68	0.9779593	0.5689286
