cat	struct_acc	rnd_acc	struct_TP
f	1.0	1.0	1.0
pdf	0.725	0.942	0.7080679571431202
pps	0.829	0.927	0.8155339737157016
wp	0.997	1.0	0.996999979019165
doc	0.881	0.988	0.8795546350485335
kml	0.991	1.0	0.9909999966621399
log	1.0	1.0	1.0
xls	0.994	1.0	0.9940000176429749
html	1.0	1.0	1.0
gz	0.598	0.95	0.5768420894126151
ps	0.99	1.0	0.9900000095367432
java	1.0	1.0	1.0
png	0.687	0.929	0.6630785612298805
kmz	0.654	0.933	0.6291532633414261
rtf	0.994	1.0	0.9940000176429749
sql	0.995	1.0	0.9950000047683716
ppt	0.83	0.934	0.8179871371391814
csv	0.999	1.0	0.9990000128746033
eps	1.0	1.0	1.0
pptx	0.786	0.935	0.7711230095156425
dbase3	1.0	1.0	1.0
dwf	0.454	0.954	0.42767294968768166
gif	0.86	0.985	0.8578680368917043
txt	1.0	1.0	1.0
xml	0.996	1.0	0.9959999918937683
swf	0.637	0.899	0.5962180421471808
hlp	1.0	1.0	1.0
jpg	0.852	0.982	0.8492871660759008
