cat	not_random	random	true_not_random
csv	0.999	1.0	0.999
doc	0.987750556792873	1.0	0.987750556792873
pps	0.9172749391727494	0.963	0.9140965100443919
pdf	0.9051948051948052	0.984	0.9036532573117939
f	1.0	1.0	1.0
png	0.9341772151898734	0.954	0.9310033702199931
dwf	0.8427876823338736	0.966	0.8372543295381714
wp	0.999	1.0	0.999
xls	0.992	1.0	0.992
html	1.0	1.0	1.0
ps	0.984	1.0	0.984
eps	1.0	1.0	1.0
kml	0.998	1.0	0.998
gz	0.9140083217753121	0.956	0.9100505457900754
gif	0.9706521739130435	0.972	0.9698067632850241
log	1.0	1.0	1.0
pptx	0.8623853211009175	0.989	0.8608547230545172
ppt	0.9280575539568345	0.984	0.9268877580862139
java	1.0	1.0	1.0
rtf	0.999	1.0	0.999
jpg	0.9733333333333334	0.973	0.9725933538883179
txt	1.0	1.0	1.0
sql	0.998	1.0	0.998
hlp	1.0	1.0	1.0
swf	0.8861671469740634	0.966	0.882160607633606
kmz	0.9114583333333334	0.965	0.9082469775474957
xml	0.997	1.0	0.997
dbase3	1.0	1.0	1.0
