cat	struct_acc	rnd_acc	struct_TP
log	1.0	1.0	1.0
f	1.0	1.0	1.0
ps	0.956	1.0	0.9559999704360962
dbase3	1.0	1.0	1.0
gif	0.588	0.986	0.5821501015424969
pptx	0.558	0.902	0.5099778636810071
ppt	0.504	0.993	0.5005035182047777
pdf	0.518	0.993	0.5146022080130134
doc	0.867	1.0	0.8669999837875366
csv	1.0	1.0	1.0
sql	0.997	1.0	0.996999979019165
hlp	1.0	1.0	1.0
txt	1.0	1.0	1.0
kmz	0.503	0.999	0.5025025299158333
html	0.997	1.0	0.996999979019165
wp	0.998	1.0	0.9980000257492065
rtf	0.995	1.0	0.9950000047683716
swf	0.492	0.969	0.4757481982358255
xml	0.999	1.0	0.9990000128746033
pps	0.563	0.961	0.5452653848670571
gz	0.416	0.886	0.3408577808248355
png	0.381	0.965	0.35854921796542105
dwf	0.372	0.865	0.27398845750898615
jpg	0.917	0.946	0.9122621500542554
eps	0.994	1.0	0.9940000176429749
kml	1.0	1.0	1.0
java	0.999	1.0	0.9990000128746033
xls	0.982	1.0	0.9819999933242798
