cat	not_random	random	true_not_random
pptx	0.5402504472271914	1.0	0.5402504472271914
f	0.995	1.0	0.995
wp	0.993	1.0	0.993
csv	1.0	1.0	1.0
png	0.4387254901960784	1.0	0.4387254901960784
dwf	0.5344827586206896	1.0	0.5344827586206896
swf	0.6891891891891891	1.0	0.6891891891891891
doc	0.9928825622775801	1.0	0.9928825622775801
txt	1.0	1.0	1.0
pps	0.6293706293706294	1.0	0.6293706293706294
pdf	0.7732142857142857	1.0	0.7732142857142857
rtf	1.0	1.0	1.0
ps	0.979	1.0	0.979
hlp	1.0	1.0	1.0
dbase3	1.0	1.0	1.0
gif	0.5661641541038526	1.0	0.5661641541038526
java	1.0	1.0	1.0
html	1.0	1.0	1.0
sql	0.998	1.0	0.998
gz	0.2510460251046025	1.0	0.2510460251046025
eps	0.981	1.0	0.981
log	1.0	1.0	1.0
xml	0.997	1.0	0.997
jpg	0.8619934282584885	0.996	0.8614391849984824
kml	1.0	1.0	1.0
xls	0.982	1.0	0.982
ppt	0.6979166666666666	1.0	0.6979166666666666
kmz	0.8645038167938931	1.0	0.8645038167938931
