category	val_acc	struct_acc	rnd_acc	Time	Epochs
rtf	0.99785715	0.996	1.0	9m43s	12
xls	0.9882143	0.978	1.0	18m34s	24
ps	0.9632143	0.924	1.0	10m00s	11
pdf	0.7292857	0.461	0.996	30m37s	37
doc	0.9235714	0.84	1.0	9m02s	11
dwf	0.5921429	0.355	0.857	12m04s	15
dbase3	1.0	1.0	1.0	8m48s	11
log	1.0	1.0	1.0	8m52s	11
xml	0.99892855	0.998	1.0	9m07s	11
java	0.9992857	1.0	1.0	8m51s	11
png	0.6160714	0.273	0.976	15m34s	19
pptx	0.7192857	0.586	0.89	20m24s	23
jpg	0.9142857	0.887	0.957	33m04s	42
wp	0.99392855	0.992	1.0	8m42s	11
kmz	0.7246429	0.455	0.998	15m07s	19
sql	0.99964285	0.999	1.0	8m56s	11
gz	0.61	0.32	0.872	17m23s	21
txt	1.0	1.0	1.0	8m59s	11
ppt	0.73071426	0.472	0.997	40m21s	49
hlp	1.0	1.0	1.0	8m59s	11
swf	0.6992857	0.405	0.976	26m12s	32
html	0.9992857	0.999	1.0	8m56s	11
csv	0.99964285	0.999	1.0	8m46s	11
kml	1.0	1.0	1.0	8m47s	11
eps	0.99	0.983	1.0	27m06s	34
f	0.995	0.99	1.0	9m00s	11
gif	0.7196429	0.425	0.991	37m27s	47
pps	0.7425	0.546	0.985	31m23s	40
