n	cats	val_categorical_accuracy
2	pptx,dwf	0.61
3	png,jpg,html	0.81333333
4	jpg,pdf,f,sql	0.79375
5	swf,hlp,kml,jpg,sql	0.801
6	sql,png,dwf,pps,jpg,gif	0.5
7	doc,kml,log,rtf,xml,swf,sql	0.8592857
8	kmz,pptx,log,pps,dbase3,xml,html,gz	0.646875
9	swf,gz,ppt,ps,hlp,f,html,java,pps	0.6383333
10	xls,java,gif,png,pdf,doc,ps,wp,f,rtf	0.748
11	kmz,xml,gz,dwf,f,pptx,swf,txt,ps,gif,java	0.51681817
12	xml,f,ppt,ps,jpg,eps,png,wp,csv,txt,log,sql	0.62708336
13	ps,swf,xls,png,kmz,csv,wp,kml,log,txt,doc,xml,pps	0.675
14	pdf,gz,pptx,pps,dwf,gif,ps,f,log,jpg,rtf,java,txt,xml	0.57607144
15	kml,gif,gz,ps,f,dwf,pptx,doc,rtf,csv,dbase3,kmz,hlp,xls,xml	0.7036667
16	java,xls,html,csv,jpg,log,doc,kml,kmz,gif,dwf,xml,pps,f,txt,ps	0.6484375
17	dwf,sql,f,gif,log,doc,gz,ps,swf,kmz,jpg,pptx,txt,eps,html,hlp,kml	0.5805882
18	rtf,pdf,jpg,txt,xls,kmz,eps,png,pps,log,doc,dbase3,gz,hlp,sql,kml,ps,html	0.6313889
19	rtf,ps,dbase3,wp,log,kmz,dwf,xls,sql,doc,xml,java,ppt,eps,html,hlp,kml,txt,pps	0.67657894
20	f,swf,rtf,java,pps,pptx,kml,gif,jpg,csv,dwf,doc,log,xml,hlp,html,sql,gz,kmz,png	0.5435
21	java,pdf,csv,gz,eps,log,wp,ppt,png,pps,kmz,ps,txt,xml,swf,dwf,f,rtf,kml,html,sql	0.56
22	log,hlp,dwf,eps,csv,sql,pptx,java,xml,wp,gif,png,gz,pps,kml,f,dbase3,doc,ppt,pdf,jpg,ps	0.56204545
23	sql,xls,html,pptx,wp,txt,xml,gif,pps,f,kmz,java,dbase3,ps,swf,rtf,kml,pdf,ppt,eps,log,png,doc	0.5782609
24	csv,jpg,swf,eps,xml,html,txt,kmz,doc,pdf,pptx,log,sql,pps,f,gif,xls,ps,ppt,png,java,rtf,dwf,wp	0.51895833
25	ppt,f,kmz,dbase3,kml,ps,log,csv,hlp,pps,xls,swf,dwf,gif,rtf,txt,gz,xml,sql,jpg,pptx,eps,doc,html,png	0.5284
26	pptx,csv,xls,f,sql,gif,dbase3,doc,wp,ps,kml,hlp,pdf,gz,html,dwf,xml,ppt,jpg,txt,swf,pps,kmz,rtf,png,java	0.5173077
27	csv,log,pps,html,dwf,ppt,wp,pdf,kml,xls,dbase3,f,gif,sql,jpg,doc,pptx,eps,java,ps,xml,rtf,txt,gz,swf,kmz,png	0.527037
28	pps,ps,pptx,ppt,swf,rtf,wp,png,java,html,xls,sql,doc,hlp,f,gz,txt,kml,pdf,dwf,eps,dbase3,log,kmz,xml,gif,csv,jpg	0.5296429
2	sql,swf	0.9825
3	csv,kmz,log	0.9683333
4	pps,html,png,log	0.70125
5	kml,pptx,wp,html,gif	0.832
6	hlp,pdf,txt,csv,kml,java	0.8933333
7	pptx,sql,doc,f,png,csv,rtf	0.75285715
8	png,java,gif,dbase3,eps,swf,kml,txt	0.778125
9	wp,xml,pptx,sql,html,rtf,doc,kml,jpg	0.75555557
10	txt,dbase3,xls,gz,png,log,xml,kml,pps,f	0.7005
11	dwf,ps,kml,kmz,pdf,txt,java,rtf,gif,eps,hlp	0.6818182
12	swf,kmz,rtf,html,log,ppt,gz,xls,eps,ps,dbase3,doc	0.66583335
13	ps,sql,dwf,jpg,html,dbase3,pdf,pps,java,txt,xml,eps,log	0.7003846
14	gif,xls,ppt,html,pptx,hlp,jpg,dbase3,gz,pdf,rtf,csv,pps,f	0.6307143
15	f,html,png,pdf,xml,gif,jpg,txt,csv,xls,rtf,pptx,log,ppt,ps	0.6063333
16	hlp,doc,gif,dbase3,jpg,xls,dwf,kml,java,f,wp,png,swf,pptx,csv,ppt	0.6146875
17	swf,doc,java,ppt,xml,gif,wp,dbase3,hlp,txt,pdf,pptx,log,xls,csv,gz,rtf	0.6644118
18	csv,pdf,dwf,sql,xls,jpg,wp,log,ppt,png,hlp,txt,f,dbase3,kmz,ps,rtf,eps	0.6336111
19	ppt,swf,jpg,eps,txt,kml,xls,java,png,rtf,csv,gif,html,ps,xml,dbase3,wp,pdf,f	0.6618421
20	log,gz,dbase3,gif,csv,swf,ps,html,pptx,png,rtf,xml,kml,f,wp,doc,pdf,kmz,pps,dwf	0.56925
21	pps,txt,kml,eps,doc,ppt,gif,png,gz,f,hlp,sql,swf,dbase3,html,log,jpg,java,kmz,xml,rtf	0.5890476
22	java,dwf,eps,gif,log,wp,xls,rtf,txt,jpg,hlp,ps,swf,f,gz,csv,html,png,kml,dbase3,pdf,pptx	0.5977273
23	gz,png,html,pps,hlp,eps,xls,log,kmz,ppt,doc,rtf,xml,pdf,sql,jpg,swf,kml,dwf,wp,f,txt,dbase3	0.541087
24	pptx,f,gif,xml,xls,pps,wp,doc,eps,gz,kmz,dbase3,hlp,png,csv,txt,ppt,ps,html,log,jpg,sql,swf,kml	0.53770834
25	rtf,dbase3,sql,pptx,html,pps,kmz,dwf,pdf,log,hlp,ppt,txt,f,png,gz,jpg,wp,xls,xml,ps,gif,kml,swf,eps	0.522
26	png,html,sql,dbase3,xml,xls,kml,jpg,pps,rtf,pptx,kmz,gz,doc,pdf,f,gif,hlp,swf,eps,java,dwf,wp,log,csv,ppt	0.5501923
27	pdf,java,f,pps,png,rtf,xml,pptx,kmz,log,doc,txt,kml,gif,ps,gz,csv,hlp,ppt,swf,eps,jpg,dbase3,html,sql,xls,wp	0.5472222
28	txt,hlp,gif,kmz,pps,eps,log,rtf,png,gz,java,sql,f,csv,doc,ppt,wp,dbase3,html,pdf,ps,dwf,swf,xls,jpg,kml,xml,pptx	0.5221428
2	dbase3,hlp	0.9875
3	doc,pdf,eps	0.8833333
4	kmz,gz,sql,csv	0.8025
5	wp,dwf,gz,dbase3,ps	0.781
6	png,ps,rtf,csv,eps,xml	0.84833336
7	f,doc,jpg,csv,dbase3,wp,png	0.8428571
8	rtf,ps,gif,gz,f,html,jpg,dwf	0.68625
9	txt,sql,doc,jpg,eps,dwf,ppt,kml,hlp	0.7405556
10	jpg,gz,gif,dwf,pptx,pdf,rtf,java,ppt,sql	0.571
11	pps,pdf,gif,java,eps,log,jpg,txt,png,swf,doc	0.5986364
12	pdf,pps,f,jpg,dbase3,ps,eps,xml,csv,xls,rtf,swf	0.6879167
13	pptx,f,java,jpg,swf,xls,log,hlp,xml,gz,pdf,kml,csv	0.6826923
14	gif,log,pptx,gz,xls,png,doc,pdf,eps,sql,ppt,kmz,xml,dwf	0.5353571
15	dbase3,pps,txt,ps,kml,f,java,html,hlp,dwf,ppt,log,png,jpg,swf	0.5976667
16	ppt,eps,rtf,log,gif,xls,gz,kml,hlp,sql,kmz,dbase3,png,wp,txt,pps	0.65125
