cat1	cat2	elapsed	Epochs	val_binary_accuracy	val_categorical_accuracy
csv	dbase3	49.020206689834595	23	0.985	0.985
csv	doc	91.38898348808289	33	0.9875	0.9875
csv	dwf	50.52567148208618	19	1.0	1.0
csv	eps	54.84157943725586	19	0.99	0.99
csv	f	61.17386555671692	27	0.9725	0.9725
csv	gif	36.78650522232056	14	1.0	1.0
csv	gz	56.791020154953	15	1.0	1.0
csv	hlp	37.915151834487915	20	0.9825	0.9825
csv	html	74.33457565307617	39	0.99	0.99
csv	java	48.03701424598694	24	0.97	0.97
csv	jpg	67.04428386688232	22	0.995	0.995
csv	kml	67.21235609054565	33	0.975	0.975
csv	kmz	48.11370587348938	16	0.9975	0.9975
csv	log	86.67183899879456	36	0.9775	0.9775
csv	pdf	97.96964693069458	30	0.9875	0.9875
csv	png	56.10292649269104	19	1.0	1.0
csv	pps	126.2889084815979	27	0.9875	0.9875
csv	ppt	86.51726913452148	17	0.985	0.985
csv	pptx	101.39157462120056	20	0.995	0.995
csv	ps	62.385940074920654	14	0.97	0.97
csv	rtf	73.4726493358612	26	0.99	0.99
csv	sql	81.58186364173889	44	0.97	0.97
csv	swf	61.361820936203	16	1.0	1.0
csv	txt	65.32014799118042	22	0.92	0.92
csv	wp	68.57729506492615	26	0.9875	0.9875
csv	xls	97.875732421875	42	0.9775	0.9775
csv	xml	56.27871537208557	23	0.9825	0.9825
dbase3	doc	61.51395654678345	27	0.9875	0.9875
dbase3	dwf	40.321863651275635	16	0.9975	0.9975
dbase3	eps	73.28936862945557	32	0.99	0.99
dbase3	f	55.05257844924927	26	0.9575	0.9575
dbase3	gif	43.55129528045654	18	1.0	1.0
dbase3	gz	62.45000648498535	18	1.0	1.0
dbase3	hlp	65.76999735832214	33	0.99	0.99
dbase3	html	55.07000923156738	25	0.9675	0.9675
dbase3	java	42.708513259887695	17	0.975	0.975
dbase3	jpg	53.366002559661865	18	0.9925	0.9925
dbase3	kml	42.59171533584595	16	0.97	0.97
dbase3	kmz	47.1739399433136	15	0.995	0.995
dbase3	log	73.83296966552734	33	0.9875	0.9875
dbase3	pdf	69.07055377960205	23	0.9825	0.9825
dbase3	png	47.930681228637695	15	0.9925	0.9925
dbase3	pps	91.8446729183197	19	0.985	0.985
dbase3	ppt	94.72353792190552	20	0.9875	0.9875
dbase3	pptx	123.55291152000427	25	0.9975	0.9975
dbase3	ps	96.8147304058075	26	0.995	0.995
dbase3	rtf	63.647871017456055	24	0.99	0.99
dbase3	sql	65.6808569431305	28	0.985	0.985
dbase3	swf	54.31619167327881	14	1.0	1.0
dbase3	txt	83.00275015830994	40	0.955	0.955
dbase3	wp	54.09211444854736	21	0.99	0.99
dbase3	xls	67.01102328300476	26	0.9825	0.9825
dbase3	xml	44.52352809906006	16	0.985	0.985
