cat	not_random	random	true_not_random
pptx	0.79	0.97	0.7835051546391752
java	1.0	1.0	1.0
doc	0.929	0.982	0.9276985743380856
csv	1.0	1.0	1.0
xml	1.0	1.0	1.0
wp	0.999	1.0	0.999
ps	0.98	1.0	0.98
kml	0.996	1.0	0.996
dwf	0.653	0.913	0.619934282584885
hlp	1.0	1.0	1.0
log	1.0	1.0	1.0
txt	0.995	1.0	0.995
kmz	0.723	0.99	0.7202020202020202
html	1.0	1.0	1.0
sql	0.997	1.0	0.997
eps	0.999	1.0	0.999
ppt	0.89	0.941	0.8831030818278427
pps	0.83	0.948	0.820675105485232
gz	0.724	0.856	0.6775700934579438
jpg	0.918	0.984	0.9166666666666667
dbase3	1.0	1.0	1.0
gif	0.863	0.991	0.8617558022199798
swf	0.634	0.962	0.6195426195426196
f	1.0	1.0	1.0
png	0.826	0.948	0.8164556962025316
xls	0.985	1.0	0.985
rtf	1.0	1.0	1.0
pdf	0.757	0.972	0.75
