category	val_acc	Time	Epochs
pptx	0.87107146	18m33s	68
java	1.0	2m41s	11
doc	0.9442857	15m07s	62
csv	1.0	2m43s	11
xml	1.0	2m45s	11
wp	0.99857146	3m58s	16
ps	0.9842857	3m46s	12
kml	0.99857146	2m47s	11
dwf	0.7096428	6m53s	28
hlp	1.0	2m46s	11
log	1.0	3m10s	12
txt	0.995	3m16s	12
kmz	0.7817857	11m06s	45
html	1.0	2m50s	11
sql	0.9967857	3m17s	13
eps	0.9982143	5m19s	19
ppt	0.8982143	19m39s	67
pps	0.8625	16m06s	57
gz	0.75357145	8m14s	33
jpg	0.93214285	12m44s	51
dbase3	1.0	2m51s	11
gif	0.8682143	8m36s	35
swf	0.77	9m24s	41
f	1.0	2m37s	11
png	0.825	14m22s	64
xls	0.9875	3m24s	14
rtf	1.0	2m42s	11
pdf	0.8189286	14m03s	62
category	val_acc	Time	Epochs
dwf	0.7382143	11m42s	43
category	val_acc	Time	Epochs
dwf	0.7292857	11m19s	40
